label,len,qr,count_queries,qry_type,qry_name_enthropy,qry_name_len,count_labels,resp_type,resp_ttl,resp_len,count_auth_rr,count_add_rr,count_answers,count_rtypes
1,72,0,1,5,3.9790978911348045,26,5,0,0,0,0,0,0,0
1,215,1,1,5,3.9790978911348045,26,5,5,60,60,1,0,1,2
1,75,0,1,5,3.840402546702506,29,7,0,0,0,0,0,0,0
1,161,1,1,5,3.840402546702506,29,7,5,60,3,1,0,1,2
1,74,0,1,5,3.665420334520565,28,6,0,0,0,0,0,0,0
1,160,1,1,5,3.665420334520565,28,6,5,60,3,1,0,1,2
1,73,0,1,5,3.926571651178274,27,6,0,0,0,0,0,0,0
1,159,1,1,5,3.926571651178274,27,6,5,60,3,1,0,1,2
1,289,0,1,5,5.563458234517457,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.423761486770551,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.578877426707128,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.4912267342066,243,11,0,0,0,0,0,0,0
1,288,0,1,5,5.466987363820869,242,11,0,0,0,0,0,0,0
1,289,0,1,5,5.426272304287135,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.429068258007919,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.355833396722921,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.376450996941442,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.52103803537138,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.330671622384577,243,11,0,0,0,0,0,0,0
1,289,0,1,5,5.344042237774328,243,11,0,0,0,0,0,0,0
1,247,0,1,5,4.947496981073141,201,10,0,0,0,0,0,0,0
1,338,1,1,5,4.947496981073141,201,10,5,60,8,1,0,1,2
1,76,0,1,16,3.923231428797621,30,7,0,0,0,0,0,0,0
1,162,1,1,16,3.923231428797621,30,7,16,60,3,1,0,1,2
1,73,0,1,16,3.926571651178274,27,6,0,0,0,0,0,0,0
1,161,1,1,16,3.926571651178274,27,6,16,60,5,1,0,1,2
1,75,0,1,16,3.952302977662386,29,7,0,0,0,0,0,0,0
1,541,1,1,16,3.952302977662386,29,7,16,60,383,1,0,1,2
1,76,0,1,16,3.9647351787255047,30,7,0,0,0,0,0,0,0
1,542,1,1,16,3.9647351787255047,30,7,16,60,383,1,0,1,2
1,76,0,1,16,4.031401845392171,30,7,0,0,0,0,0,0,0
